Design Variation:  chainL='0.68000000000000005um' chainW='1um' CJ='11.699999999999999fF' CJ_SQUID='32.759999999999998fF' d='0.050000000000000003' extCouplingL='10um' extCouplingW='1um' fstLidExtL='3um' fstLidL='10um' fstLidW='50um' JJ_dummy_L='0.10000000000000001um' LJ='0.87nH' LJ_SQUID='6.2000000000000002nH' lstLidL='3um' lstLidW='1um' N='19' N_SQ='9' pitL='0um' pitW='2um' spacingChain='0.16um' spacingCoupling='1um' SQUIDbufferL='40um' SQUIDbufferL2='3um' SQUIDislandL='3um' SQUIDJJL='5um' SQUIDJJW='1um' SQUIDLidL='2um' SQUIDLidW='10um' stripeW='465.21199999999999um' subL='1.5mm' subT='525um' subW='1.5mm'
Setup1:LastAdaptive
Problem Type:  C
C Units:fF, G Units:mSie
Reduce Matrix:  Original
Frequency:  21GHz

Capacitance Matrix
,feed,first_island,gnd,island,island_1,island_2,island_3,island_4,island_5,island_6,island_7,island_8,island_25,island_25_1,island_25_2,island_25_3,island_25_4,island_25_5,island_25_6,island_25_7,island_25_8,last_island,SQUID_lid1,SQUID_lid2,
feed,2.990725228066688E+02,-9.698801250113320E+00,-2.669654330838339E+02,-1.157183556878778E-02,-1.189420999395418E-02,-1.217071431978681E-02,-1.242730237849252E-02,-1.269513357089227E-02,-1.283495228936242E-02,-1.303405791578658E-02,-1.321031838942278E-02,-1.355730660543934E-02,-1.244220147763918E-02,-1.253235655784692E-02,-1.291106044372305E-02,-1.319759270567291E-02,-1.355325469154303E-02,-1.422197324083390E-02,-1.416541762218206E-02,-1.450576559833779E-02,-1.477402951405649E-02,-1.441489530130856E-01,-2.118392918234601E+00,-3.977752497917917E-01
first_island,-9.698801250113320E+00,1.174667252503882E+01,-9.098204888915833E-01,-1.071175029264954E-01,-4.509713848118210E-02,-3.470409576974683E-02,-2.959451712414294E-02,-2.637674475728574E-02,-2.402949543351703E-02,-2.220391235326358E-02,-2.070922638407672E-02,-1.972530260786788E-02,-1.302231643514589E-03,-1.288561114402698E-03,-1.319389594626913E-03,-1.337561506216242E-03,-1.362091224902362E-03,-1.421471289551086E-03,-1.404238331285462E-03,-1.426439993765136E-03,-1.440712898668421E-03,-1.350636766512683E-02,-6.899517795344792E-01,-4.518599830577866E-02
gnd,-2.669654330838339E+02,-9.098204888915833E-01,3.327795617126052E+02,-3.047819997209555E-03,-3.132715434659739E-03,-3.257275774396522E-03,-3.377592850366464E-03,-3.501036262065604E-03,-3.657651480482596E-03,-3.762273753593362E-03,-3.861041017487416E-03,-4.011290113569837E-03,-8.985301497540321E-03,-9.267033829906587E-03,-9.574849576636417E-03,-9.816902085833414E-03,-1.011329081421744E-02,-1.064021163587106E-02,-1.064475746634714E-02,-1.094823932244716E-02,-1.119508986329421E-02,-1.098798801573777E-01,-1.069617321918571E+00,-2.741844077939576E-01
island,-1.157183556878778E-02,-1.071175029264954E-01,-3.047819997209555E-03,2.152872578707921E-01,-6.366431021093055E-02,-9.767376710286832E-03,-4.511437368986134E-03,-2.664022923544577E-03,-1.792742221518770E-03,-1.304604245143902E-03,-9.999339036599736E-04,-8.067970695992514E-04,-5.457212604833189E-06,-5.066594752267205E-06,-5.271120543879055E-06,-5.346866966530168E-06,-5.440847843194278E-06,-5.670955126974273E-06,-5.594369378723455E-06,-5.674389584051620E-06,-5.722844585257652E-06,-5.328611639350766E-05,-7.648656579075696E-03,-1.871106944032639E-04
island_1,-1.189420999395418E-02,-4.509713848118210E-02,-3.132715434659739E-03,-6.366431021093055E-02,2.178827014136008E-01,-6.378832578712536E-02,-9.888647190797926E-03,-4.518639941681560E-03,-2.673200888647227E-03,-1.801513104269934E-03,-1.312675066226356E-03,-1.021907884749001E-03,-5.746150175389009E-06,-5.368876743770899E-06,-5.575894328788886E-06,-5.651885253057710E-06,-5.748069880356913E-06,-5.987102809761509E-06,-5.904125781290438E-06,-5.986864687918836E-06,-6.041886771213109E-06,-5.620826663730540E-05,-8.618416012295970E-03,-1.973290640139963E-04
island_2,-1.217071431978681E-02,-3.470409576974683E-02,-3.257275774396522E-03,-9.767376710286832E-03,-6.378832578712536E-02,2.184289059229871E-01,-6.436391563672902E-02,-9.771779704465850E-03,-4.510700084977427E-03,-2.674142837004438E-03,-1.805170444709024E-03,-1.336031480007412E-03,-6.012105991755950E-06,-5.632394032128274E-06,-5.843963775539357E-06,-5.922314589852831E-06,-6.022227933276353E-06,-6.270612757856573E-06,-6.183055950352177E-06,-6.269092065220832E-06,-6.326141206478854E-06,-5.883959205754094E-05,-9.780209059457309E-03,-2.067811350611951E-04
island_3,-1.242730237849252E-02,-2.959451712414294E-02,-3.377592850366464E-03,-4.511437368986134E-03,-9.888647190797926E-03,-6.436391563672902E-02,2.183005992201255E-01,-6.356585354093307E-02,-9.759335702893035E-03,-4.512399199405324E-03,-2.679049006902090E-03,-1.836202075111561E-03,-6.275646996102031E-06,-5.893263310533650E-06,-6.109273699848396E-06,-6.189914058775103E-06,-6.293470214671319E-06,-6.551048910116310E-06,-6.458909618338542E-06,-6.548149778932727E-06,-6.607126495574260E-06,-6.144078849506057E-05,-1.125340977241212E-02,-2.161583528537509E-04
island_4,-1.269513357089227E-02,-2.637674475728574E-02,-3.501036262065604E-03,-2.664022923544577E-03,-4.518639941681560E-03,-9.771779704465850E-03,-6.356585354093307E-02,2.174969256876124E-01,-6.361281140406019E-02,-9.782678021050718E-03,-4.527094558437143E-03,-2.726877085356030E-03,-6.542949377261911E-06,-6.144783370345464E-06,-6.365488366472814E-06,-6.448223062912861E-06,-6.555141618465132E-06,-6.831043986176803E-06,-6.734241033172955E-06,-6.826685475371016E-06,-6.887256197596692E-06,-6.405376626302894E-05,-1.320145448682983E-02,-2.256043503062033E-04
island_5,-1.283495228936242E-02,-2.402949543351703E-02,-3.657651480482596E-03,-1.792742221518770E-03,-2.673200888647227E-03,-4.510700084977427E-03,-9.759335702893035E-03,-6.361281140406019E-02,2.174877261626451E-01,-6.362046701338600E-02,-9.788823003978115E-03,-4.590734534316690E-03,-6.795654390127164E-06,-6.396321782234680E-06,-6.621392135777225E-06,-6.706424344377156E-06,-6.816887649030637E-06,-7.100741161257265E-06,-6.999425625748897E-06,-7.094779138443416E-06,-7.156648822695053E-06,-6.651966522078290E-05,-1.601464607455464E-02,-2.346797000413676E-04
island_6,-1.303405791578658E-02,-2.220391235326358E-02,-3.762273753593362E-03,-1.304604245143902E-03,-1.801513104269934E-03,-2.674142837004438E-03,-4.512399199405324E-03,-9.782678021050718E-03,-6.362046701338600E-02,2.174792927033078E-01,-6.362948655207080E-02,-9.900710785794428E-03,-7.042171276656272E-06,-6.639645263278855E-06,-6.869314938484739E-06,-6.956373401743137E-06,-7.070097329299748E-06,-7.361591778704301E-06,-7.255862175887032E-06,-7.354045611175350E-06,-7.417706435125616E-06,-6.891581493223645E-05,-2.062768952199486E-02,-2.434060304287907E-04
