N,fstLidL,Cc_first,Cc_last,Cc_middle,Cg_first,Cg_last,Cg_middle,L SQUID um,d,FREQ1 GHz,FREQ2 GHz,KAPPA MHz,T1_PURCELL us,TPHI_CHARGE us,G_COUPLING MHz
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.001,18.704317698953417,26.993595560222712,6.47703577133783,0.3347771719506349,9.617218673164794e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.0012389903709420908,18.704317703578234,26.9935955847088,6.477035777351027,0.33477712658192327,9.61816216714881e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.0015350971392872196,18.70431771067757,26.99359562229745,6.477035786599791,0.33477705693662463,9.619331296836267e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.0019019705740376145,18.70431772157555,26.993595679999707,6.477035800725092,0.33477695002447366,9.620780067121365e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.002356523227047805,18.70431773830537,26.99359576857783,6.477035822399218,0.33477678590411836,9.622575432440784e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.002919709587213616,18.70431776398756,26.993595904553317,6.477035855734551,0.3347765339640546,9.624800414553986e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.003617492064504977,18.704317803411794,26.993596113288238,6.477035906884433,0.33477614721293875,9.627557977740016e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.004482037834881091,18.704317863931223,26.99359643371493,6.477035985386305,0.3347755535156918,9.630975849027408e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.005553201719615808,18.70431795683467,26.993596925595728,6.477036105933858,0.3347746421402638,9.635212519417073e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.006880363458503046,18.704318099448884,26.993597680669556,6.477036290952456,0.3347732431085532,9.640464723939941e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.008524704073667096,18.70431831837338,26.993598839754412,6.477036575000024,0.3347710955014339,9.646976777861372e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.010562026262404352,18.704318654438065,26.993600618999302,6.477037011005699,0.3347677988156668,9.655052249467954e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.013086248836756471,18.704319170316424,26.993603350164594,6.477037680299301,0.33476273831839265,9.665068584416885e-06,
50,21,6.41126806708267e-15,8.850276669143131e-17,4.7066593819801306e-17,2.67008927453172e-16,3.5482902900488005e-17,1.85398480144286e-17,0.1,0.016213736300493404,18.704319962207496,26.993607542419763,6.47703870769157,0.3347549705182825,9.677495474171148e-06,
