N,Cc,Area_um2,CJ,LJ,mode0_GHz,mode1_GHz,mode2_GHz
75,2e-16,0.2,9.000000000000001e-15,4.688841854890915e-09,15.156466920708253,20.742856188908924,22.635961702491795
75,2e-16,0.23673469387755103,1.0653061224489797e-14,3.961262946373359e-09,15.9390581050081,21.214200790749366,22.897499836025855
75,2e-16,0.27346938775510204,1.2306122448979592e-14,3.4291529983530578e-09,16.594854086980252,21.58000251678264,23.094618264011498
75,2e-16,0.3102040816326531,1.3959183673469391e-14,3.0230690906533526e-09,17.153649284114305,21.87226070524963,23.248523783801136
75,2e-16,0.34693877551020413,1.5612244897959187e-14,2.702979422231233e-09,17.63623556217361,22.11118860954605,23.372030170949994
75,2e-16,0.38367346938775515,1.7265306122448985e-14,2.4441835201027107e-09,18.057669973373805,22.310196009929154,23.47333843692934
75,2e-16,0.42040816326530617,1.8918367346938777e-14,2.2306140863073287e-09,18.42917919879495,22.478535536752872,23.55794192283739
75,2e-16,0.4571428571428572,2.0571428571428574e-14,2.0513683115147756e-09,18.759334598315043,22.62280062621389,23.629658933333918
75,2e-16,0.4938775510204082,2.2224489795918372e-14,1.898787197435164e-09,19.054810504194663,22.74781826109123,23.69122614039257
75,2e-16,0.5306122448979592,2.3877551020408167e-14,1.767332699151191e-09,19.320891686956045,22.85720418918671,23.744656348719076
75,2e-16,0.5673469387755102,2.553061224489796e-14,1.6529010855370852e-09,19.56182334991344,22.953720858935103,23.791463037462382
75,2e-16,0.6040816326530613,2.718367346938776e-14,1.552386830335506e-09,19.78105873713975,23.03951537311521,23.832806185370174
75,2e-16,0.6408163265306124,2.883673469387756e-14,1.4633965024818777e-09,19.981438170590376,23.11628194569632,23.869589802416538
75,2e-16,0.6775510204081634,3.048979591836736e-14,1.3840557282509327e-09,20.165320982988472,23.18537542828615,23.902528853991146
75,2e-16,0.7142857142857144,3.214285714285715e-14,1.3128757193694562e-09,20.334684371582423,23.2478922914402,23.93219622838724
75,2e-16,0.7510204081632654,3.379591836734695e-14,1.248658972226385e-09,20.49119856802997,23.30472945703372,23.959056362660338
75,2e-16,0.7877551020408164,3.5448979591836745e-14,1.1904313517598696e-09,20.63628475793889,23.35662774565675,23.983489748988912
75,2e-16,0.8244897959183675,3.7102040816326536e-14,1.1373923311369051e-09,20.77116024203825,23.404204439544095,24.005811082520545
75,2e-16,0.8612244897959185,3.8755102040816334e-14,1.0888779663016816e-09,20.896874030332064,23.447978016490044,24.026282895879607
75,2e-16,0.8979591836734695,4.040816326530613e-14,1.04433295858934e-09,21.014335172258036,23.48838716725053,24.045125937872267
75,2e-16,0.9346938775510205,4.206122448979593e-14,1.0032893051949992e-09,21.124335508495776,23.52580558136079,24.0625271687797
75,2e-16,0.9714285714285715,4.371428571428573e-14,9.65349793654012e-10,21.227568094173577,23.56055356105616,24.078645987311074
75,2e-16,1.0081632653061225,4.536734693877551e-14,9.301751048164165e-10,21.324642231022956,23.5929072300498,24.09361912931877
75,2e-16,1.0448979591836736,4.702040816326531e-14,8.974736362877143e-10,21.41609581946075,23.623105899092334,24.107564557490402
75,2e-16,1.0816326530612246,4.867346938775511e-14,8.669933995836031e-10,21.50240557517362,23.651358004987717,24.1205845764592
75,2e-16,1.1183673469387756,5.0326530612244906e-14,8.385155141958205e-10,21.58399553118646,23.677845935425196,24.13276834751884
75,2e-16,1.1551020408163266,5.1979591836734703e-14,8.118489430729852e-10,21.66124415365433,23.7027299761692,24.144193933753307
75,2e-16,1.1918367346938776,5.36326530612245e-14,7.868262016769001e-10,21.734490329361954,23.726151561430083,24.15492997479994
75,2e-16,1.2285714285714286,5.52857142857143e-14,7.632998368427071e-10,21.804038429213154,23.74823596686646,24.165037067209624
75,2e-16,1.2653061224489797,5.693877551020409e-14,7.411395189988866e-10,21.87016261060437,23.769094553653787,24.17456890906562
75,2e-16,1.3020408163265307,5.859183673469388e-14,7.20229626613338e-10,21.93311048943048,23.788826648594526,24.183573254533336
75,2e-16,1.3387755102040817,6.024489795918367e-14,7.004672283221185e-10,21.99310628730507,23.807521127333338,24.192092714172905
75,2e-16,1.3755102040816327,6.189795918367348e-14,6.817603883966019e-10,22.050353539788247,23.82525775399229,24.200165429329246
75,2e-16,1.4122448979591837,6.355102040816327e-14,6.64026736675303e-10,22.10503743566759,23.842108319854695,24.207825643125084
75,2e-16,1.4489795918367347,6.520408163265306e-14,6.471922560271968e-10,22.157326844826745,23.858137615419302,24.215104186089327
75,2e-16,1.4857142857142858,6.685714285714286e-14,6.31190249696854e-10,22.207376082162835,23.873404263598555,24.222028890952537
75,2e-16,1.5224489795918368,6.851020408163266e-14,6.159604581492088e-10,22.255326446903325,23.88796143666653,24.22862494837305
75,2e-16,1.5591836734693878,7.016326530612246e-14,6.014483007582587e-10,22.30130757008825,23.90185747545476,24.23491521318371
75,2e-16,1.5959183673469388,7.181632653061225e-14,5.876042222241812e-10,22.345438597611846,23.91513642600173,24.240920469004248
