N,Cc,Area_um2,CJ,LJ,mode0_GHz,mode1_GHz,mode2_GHz
140,2e-16,0.2,9.000000000000001e-15,4.688841854890915e-09,9.954100022940047,16.30096627672951,19.64072627475852
140,2e-16,0.23673469387755103,1.0653061224489797e-14,3.961262946373359e-09,10.669204860718395,17.055101566703662,20.208999906270428
140,2e-16,0.27346938775510204,1.2306122448979592e-14,3.4291529983530578e-09,11.3020617487454,17.678036548528553,20.65730213339679
140,2e-16,0.3102040816326531,1.3959183673469391e-14,3.0230690906533526e-09,11.868799731611944,18.202223018629443,21.0202416733056
140,2e-16,0.34693877551020413,1.5612244897959187e-14,2.702979422231233e-09,12.381035839391844,18.649958743738832,21.320207982952514
140,2e-16,0.38367346938775515,1.7265306122448985e-14,2.4441835201027107e-09,12.847475070529711,19.037156737979743,21.572353556527233
140,2e-16,0.42040816326530617,1.8918367346938777e-14,2.2306140863073287e-09,13.274842557107116,19.37552072307436,21.78731151233123
140,2e-16,0.4571428571428572,2.0571428571428574e-14,2.0513683115147756e-09,13.668461378605997,19.67387331144481,21.972769565578464
140,2e-16,0.4938775510204082,2.2224489795918372e-14,1.898787197435164e-09,14.032628734096614,19.939003829869794,22.134426929178126
140,2e-16,0.5306122448979592,2.3877551020408167e-14,1.767332699151191e-09,14.370870785050213,20.176229527175238,22.276599889777362
140,2e-16,0.5673469387755102,2.553061224489796e-14,1.6529010855370852e-09,14.68612108359442,20.389778482957908,22.402618248141827
140,2e-16,0.6040816326530613,2.718367346938776e-14,1.552386830335506e-09,14.980849007521151,20.58305767173631,22.515092487679432
140,2e-16,0.6408163265306124,2.883673469387756e-14,1.4633965024818777e-09,15.257154417171188,20.758844835413832,22.616098411800344
140,2e-16,0.6775510204081634,3.048979591836736e-14,1.3840557282509327e-09,15.516838850927071,20.91942850362968,22.70730758992476
140,2e-16,0.7142857142857144,3.214285714285715e-14,1.3128757193694562e-09,15.761460030348736,21.066711933345452,22.79008133219793
140,2e-16,0.7510204081632654,3.379591836734695e-14,1.248658972226385e-09,15.992374240632458,21.20229144533988,22.865539576673783
140,2e-16,0.7877551020408164,3.5448979591836745e-14,1.1904313517598696e-09,16.21076973908325,21.32751627336256,22.934612179839217
140,2e-16,0.8244897959183675,3.7102040816326536e-14,1.1373923311369051e-09,16.417693414809424,21.44353485398064,22.998077646589792
140,2e-16,0.8612244897959185,3.8755102040816334e-14,1.0888779663016816e-09,16.61407229708249,21.55133103045079,23.056592751416993
140,2e-16,0.8979591836734695,4.040816326530613e-14,1.04433295858934e-09,16.800731079616742,21.651752657700463,23.110715458320264
140,2e-16,0.9346938775510205,4.206122448979593e-14,1.0032893051949992e-09,16.978406526714807,21.745534415060153,23.160922845516122
140,2e-16,0.9714285714285715,4.371428571428573e-14,9.65349793654012e-10,17.147759412556674,21.83331615640929,23.207625261600274
140,2e-16,1.0081632653061225,4.536734693877551e-14,9.301751048164165e-10,17.30938448962547,21.915657788174496,23.25117760695792
140,2e-16,1.0448979591836736,4.702040816326531e-14,8.974736362877143e-10,17.463818868327223,21.993051421135306,23.291888399705837
140,2e-16,1.0816326530612246,4.867346938775511e-14,8.669933995836031e-10,17.61154910519391,22.065931363620244,23.33002711801331
140,2e-16,1.1183673469387756,5.0326530612244906e-14,8.385155141958205e-10,17.753017233392754,22.13468239206915,23.365830189617675
140,2e-16,1.1551020408163266,5.1979591836734703e-14,8.118489430729852e-10,17.888625920864786,22.199646636800523,23.39950591083191
140,2e-16,1.1918367346938776,5.36326530612245e-14,7.868262016769001e-10,18.018742904242643,22.261129346936855,23.431238511934904
140,2e-16,1.2285714285714286,5.52857142857143e-14,7.632998368427071e-10,18.14370481790697,22.319403742308996,23.461191536998122
140,2e-16,1.2653061224489797,5.693877551020409e-14,7.411395189988866e-10,18.2638205150011,22.37471511713122,23.489510669403643
140,2e-16,1.3020408163265307,5.859183673469388e-14,7.20229626613338e-10,18.37937395949555,22.427284327029593,23.5163261063457
140,2e-16,1.3387755102040817,6.024489795918367e-14,7.004672283221185e-10,18.490626754256887,22.477310765123477,23.54175456415992
140,2e-16,1.3755102040816327,6.189795918367348e-14,6.817603883966019e-10,18.597820358866997,22.524974912629805,23.565900979789763
140,2e-16,1.4122448979591837,6.355102040816327e-14,6.64026736675303e-10,18.701178041798432,22.57044053344461,23.588859960796693
140,2e-16,1.4489795918367347,6.520408163265306e-14,6.471922560271968e-10,18.800906604232672,22.61385656947418,23.610717026248643
140,2e-16,1.4857142857142858,6.685714285714286e-14,6.31190249696854e-10,18.89719790681767,22.655358783358928,23.63154967285894
140,2e-16,1.5224489795918368,6.851020408163266e-14,6.159604581492088e-10,18.99023022573614,22.69507118707884,23.65142829443717
140,2e-16,1.5591836734693878,7.016326530612246e-14,6.014483007582587e-10,19.080169460431044,22.7331072883696,23.670416977678574
140,2e-16,1.5959183673469388,7.181632653061225e-14,5.876042222241812e-10,19.167170211972643,22.769571181530964,23.68857419327604
140,2e-16,1.6326530612244898,7.346938775510206e-14,5.74383127224137e-10,19.251376748284226,22.80455850486928,23.705953398079775
140,2e-16,1.6693877551020408,7.512244897959185e-14,5.617438897057575e-10,19.33292387010187,22.838157283443024,23.722603561382815
140,2e-16,1.7061224489795919,7.677551020408164e-14,5.49648925573337e-10,19.41193768961502,22.87044867285115,23.738569626262848
140,2e-16,1.7428571428571429,7.842857142857144e-14,5.380638194137116e-10,19.488536332071455,22.901507617379742,23.753892915141368
140,2e-16,1.779591836734694,8.008163265306122e-14,5.269569974533369e-10,19.56283056925839,22.931403433808793,23.768611487277557
140,2e-16,1.816326530612245,8.173469387755103e-14,5.162994402014716e-10,19.634924392585912,22.960200330506552,23.78276045471408
140,2e-16,1.853061224489796,8.338775510204082e-14,5.060644292723676e-10,19.704915532499196,22.98795787003991,23.796372262204155
140,2e-16,1.889795918367347,8.504081632653062e-14,4.962273237357557e-10,19.77289593009093,23.014731382349908,23.809476935820932
140,2e-16,1.926530612244898,8.669387755102041e-14,4.867653620543535e-10,19.838952166045985,23.040572334555343,23.82210230426434
140,2e-16,1.9632653061224492,8.834693877551022e-14,4.776574862570787e-10,19.903165851427467,23.065528662610866,23.83427419629881
140,2e-16,2.0,9.000000000000001e-14,4.688841854890916e-10,19.96561398426276,23.089645069336513,23.84601661727626
140,2.36734693877551e-16,0.2,9.000000000000001e-15,4.688841854890915e-09,9.85749430037496,16.206840772970246,19.579483507192275
140,2.36734693877551e-16,0.23673469387755103,1.0653061224489797e-14,3.961262946373359e-09,10.56866309147343,16.963967533014152,20.152610313582315
140,2.36734693877551e-16,0.27346938775510204,1.2306122448979592e-14,3.4291529983530578e-09,11.198559094303553,17.590131071411268,20.605145218837933
140,2.36734693877551e-16,0.3102040816326531,1.3959183673469391e-14,3.0230690906533526e-09,11.763087475476263,18.117586123628005,20.97177885704505
140,2.36734693877551e-16,0.34693877551020413,1.5612244897959187e-14,2.702979422231233e-09,12.27370440273134,18.5685257777944,21.274982332561542
140,2.36734693877551e-16,0.38367346938775515,1.7265306122448985e-14,2.4441835201027107e-09,12.73899532737798,18.95880870165225,21.529979830790474
140,2.36734693877551e-16,0.42040816326530617,1.8918367346938777e-14,2.2306140863073287e-09,13.165594244037399,19.30011246324896,21.747464665380473
140,2.36734693877551e-16,0.4571428571428572,2.0571428571428574e-14,2.0513683115147756e-09,13.558753356496235,19.601249547316122,21.935174263605248
140,2.36734693877551e-16,0.4938775510204082,2.2224489795918372e-14,1.898787197435164e-09,13.922713860332541,19.869008275896782,22.098848703619243
140,2.36734693877551e-16,0.5306122448979592,2.3877551020408167e-14,1.767332699151191e-09,14.260957085597871,20.108710007044962,22.242837898719838
140,2.36734693877551e-16,0.5673469387755102,2.553061224489796e-14,1.6529010855370852e-09,14.576380306684829,20.32458967815199,22.370499424518524
140,2.36734693877551e-16,0.6040816326530613,2.718367346938776e-14,1.552386830335506e-09,14.871423277414582,20.520062462538394,22.484466823641316
