N,Cc,Area_um2,CJ,LJ,mode0_GHz,mode1_GHz,mode2_GHz
100,2e-16,0.2,9.000000000000001e-15,4.688841854890915e-09,12.713711602871022,18.95090603451283,21.534356051637563
100,2e-16,0.23673469387755103,1.0653061224489797e-14,3.961262946373359e-09,13.502222325053806,19.570646498816878,21.924721257595365
100,2e-16,0.27346938775510204,1.2306122448979592e-14,3.4291529983530578e-09,14.181705516259571,20.064444552349652,22.224041887598176
100,2e-16,0.3102040816326531,1.3959183673469391e-14,3.0230690906533526e-09,14.77535732022158,20.467500619925712,22.460903477925335
100,2e-16,0.34693877551020413,1.5612244897959187e-14,2.702979422231233e-09,15.29973741669261,20.802908960008327,22.65303906816787
100,2e-16,0.38367346938775515,1.7265306122448985e-14,2.4441835201027107e-09,15.767117580449694,21.086487344679846,22.812040193619204
100,2e-16,0.42040816326530617,1.8918367346938777e-14,2.2306140863073287e-09,16.186858736967277,21.329450857177314,22.945806885898964
100,2e-16,0.4571428571428572,2.0571428571428574e-14,2.0513683115147756e-09,16.566268316301958,21.539981050448,23.059910280610254
100,2e-16,0.4938775510204082,2.2224489795918372e-14,1.898787197435164e-09,16.911159791823767,21.724191156695046,23.15839262672092
100,2e-16,0.5306122448979592,2.3877551020408167e-14,1.767332699151191e-09,17.22623198686472,21.886743330873095,23.24425846651806
100,2e-16,0.5673469387755102,2.553061224489796e-14,1.6529010855370852e-09,17.515334366053082,22.03125652277265,23.319787762116952
100,2e-16,0.6040816326530613,2.718367346938776e-14,1.552386830335506e-09,17.781657503848752,22.160583669011714,23.386742025934407
100,2e-16,0.6408163265306124,2.883673469387756e-14,1.4633965024818777e-09,18.027872910047854,22.277004716885227,23.44650383400143
100,2e-16,0.6775510204081634,3.048979591836736e-14,1.3840557282509327e-09,18.256237662796675,22.382363937396647,23.500173567909766
100,2e-16,0.7142857142857144,3.214285714285715e-14,1.3128757193694562e-09,18.468674023269323,22.478169469135498,23.548637946400767
