N,Cc,Area_um2,CJ,LJ,mode0_GHz,mode1_GHz,mode2_GHz
65,2e-16,0.2,9.000000000000001e-15,4.688841854890915e-09,16.329256731800825,21.45390815471958,23.03618019379489
65,2e-16,0.23673469387755103,1.0653061224489797e-14,3.961262946373359e-09,17.082469791336273,21.85294323808077,23.246210909571023
65,2e-16,0.27346938775510204,1.2306122448979592e-14,3.4291529983530578e-09,17.704416046047324,22.159290799900873,23.403504758587108
65,2e-16,0.3102040816326531,1.3959183673469391e-14,3.0230690906533526e-09,18.227605611926343,22.40194998498641,23.525716565687258
65,2e-16,0.34693877551020413,1.5612244897959187e-14,2.702979422231233e-09,18.67436694571187,22.598944132340378,23.623409261473938
65,2e-16,0.38367346938775515,1.7265306122448985e-14,2.4441835201027107e-09,19.060628769975978,22.76207245822774,23.7032908741058
65,2e-16,0.42040816326530617,1.8918367346938777e-14,2.2306140863073287e-09,19.39810216943834,22.89938666577502,23.769826442499156
65,2e-16,0.4571428571428572,2.0571428571428574e-14,2.0513683115147756e-09,19.695612407390605,23.016570871721214,23.826103371225347
65,2e-16,0.4938775510204082,2.2224489795918372e-14,1.898787197435164e-09,19.959948802452,23.117753034411617,23.874324786676148
65,2e-16,0.5306122448979592,2.3877551020408167e-14,1.767332699151191e-09,20.196427123206398,23.20600380177245,23.91610501655005
65,2e-16,0.5673469387755102,2.553061224489796e-14,1.6529010855370852e-09,20.409273193572186,23.283654889122136,23.952653995523335
65,2e-16,0.6040816326530613,2.718367346938776e-14,1.552386830335506e-09,20.60189136887036,23.35250887554546,23.98489644351099
65,2e-16,0.6408163265306124,2.883673469387756e-14,1.4633965024818777e-09,20.777056651514382,23.413981323126745,24.01355123814767
65,2e-16,0.6775510204081634,3.048979591836736e-14,1.3840557282509327e-09,20.937054853143287,23.469199402797454,24.039185676071465
65,2e-16,0.7142857142857144,3.214285714285715e-14,1.3128757193694562e-09,21.083786614358424,23.51907180920885,24.06225342808349
65,2e-16,0.7510204081632654,3.379591836734695e-14,1.248658972226385e-09,21.21884578374473,23.564339268521042,24.08312163280705
65,2e-16,0.7877551020408164,3.5448979591836745e-14,1.1904313517598696e-09,21.34357928659776,23.605611648468088,24.102090590246323
65,2e-16,0.8244897959183675,3.7102040816326536e-14,1.1373923311369051e-09,21.459133420469254,23.64339564277976,24.11940831078081
65,2e-16,0.8612244897959185,3.8755102040816334e-14,1.0888779663016816e-09,21.566490056514123,23.67811571044699,24.135281422172774
65,2e-16,0.8979591836734695,4.040816326530613e-14,1.04433295858934e-09,21.666495237256008,23.71013011288595,24.14988345567393
65,2e-16,0.9346938775510205,4.206122448979593e-14,1.0032893051949992e-09,21.759881979625238,23.73974333798624,24.16336121773112
65,2e-16,0.9714285714285715,4.371428571428573e-14,9.65349793654012e-10,21.847288614302695,23.767215826598417,24.175839744192793
65,2e-16,1.0081632653061225,4.536734693877551e-14,9.301751048164165e-10,21.929273652649595,23.79277166107499,24.18742619178634
65,2e-16,1.0448979591836736,4.702040816326531e-14,8.974736362877143e-10,22.006327927683017,23.81660469733377,24.198212923655387
65,2e-16,1.0816326530612246,4.867346938775511e-14,8.669933995836031e-10,22.07888457696648,23.838883496123717,24.20827997720046
65,2e-16,1.1183673469387756,5.0326530612244906e-14,8.385155141958205e-10,22.147327303540557,23.859755319213363,24.217697053835014
65,2e-16,1.1551020408163266,5.1979591836734703e-14,8.118489430729852e-10,22.211997252799396,23.879349391058923,24.22652513533566
65,2e-16,1.1918367346938776,5.36326530612245e-14,7.868262016769001e-10,22.27319876927694,23.897779578810024,24.234817806063358
65,2e-16,1.2285714285714286,5.52857142857143e-14,7.632998368427071e-10,22.331204241138806,23.915146608193474,24.242622341660503
65,2e-16,1.2653061224489797,5.693877551020409e-14,7.411395189988866e-10,22.386258197142034,23.931539906432306,24.249980610971196
65,2e-16,1.3020408163265307,5.859183673469388e-14,7.20229626613338e-10,22.43858078758436,23.94703914344902,24.25692982752731
