N,Cc,Area_um2,CJ,LJ,mode0_GHz,mode1_GHz,mode2_GHz
85,2e-16,0.2,9.000000000000001e-15,4.688841854890915e-09,14.09913219530182,20.02286414621731,22.20964791594464
85,2e-16,0.23673469387755103,1.0653061224489797e-14,3.961262946373359e-09,14.893130113682492,20.559594910598133,22.523284914186323
85,2e-16,0.27346938775510204,1.2306122448979592e-14,3.4291529983530578e-09,15.566900536525235,20.98064362535884,22.761262053069963
85,2e-16,0.3102040816326531,1.3959183673469391e-14,3.0230690906533526e-09,16.147446546401646,21.319966410602664,22.94803878672263
85,2e-16,0.34693877551020413,1.5612244897959187e-14,2.702979422231233e-09,16.653832434653463,21.599353665342065,23.098547784381378
85,2e-16,0.38367346938775515,1.7265306122448985e-14,2.4441835201027107e-09,17.100023017238353,21.83345239917732,23.22242515037811
85,2e-16,0.42040816326530617,1.8918367346938777e-14,2.2306140863073287e-09,17.496546332449846,22.03248150341834,23.32616897336386
85,2e-16,0.4571428571428572,2.0571428571428574e-14,2.0513683115147756e-09,17.85152573171739,22.203792303697412,23.414321219857218
85,2e-16,0.4938775510204082,2.2224489795918372e-14,1.898787197435164e-09,18.17135050089313,22.35281091732025,23.490152619936726
85,2e-16,0.5306122448979592,2.3877551020408167e-14,1.767332699151191e-09,18.461127980144003,22.483631087181045,23.556078512249822
85,2e-16,0.5673469387755102,2.553061224489796e-14,1.6529010855370852e-09,18.724997790894008,22.59940023783144,23.613921417599414
85,2e-16,0.6040816326530613,2.718367346938776e-14,1.552386830335506e-09,18.966355882007765,22.702578423849978,23.665082455985004
85,2e-16,0.6408163265306124,2.883673469387756e-14,1.4633965024818777e-09,19.188017800906245,22.795116532113937,23.71065651910129
85,2e-16,0.6775510204081634,3.048979591836736e-14,1.3840557282509327e-09,19.392339942422545,22.878581702842354,23.7515116179203
85,2e-16,0.7142857142857144,3.214285714285715e-14,1.3128757193694562e-09,19.58131108966008,22.954247373012503,23.788344768332475
85,2e-16,0.7510204081632654,3.379591836734695e-14,1.248658972226385e-09,19.75662254078209,23.023159074778857,23.82172212998708
85,2e-16,0.7877551020408164,3.5448979591836745e-14,1.1904313517598696e-09,19.919722533334667,23.086183285844665,23.852108343565213
85,2e-16,0.8244897959183675,3.7102040816326536e-14,1.1373923311369051e-09,20.071858977252216,23.144044219889413,23.879888312713977
85,2e-16,0.8612244897959185,3.8755102040816334e-14,1.0888779663016816e-09,20.21411336315631,23.197351896277407,23.905383607623264
85,2e-16,0.8979591836734695,4.040816326530613e-14,1.04433295858934e-09,20.347427926919746,23.2466238109571,23.928864978580837
85,2e-16,0.9346938775510205,4.206122448979593e-14,1.0032893051949992e-09,20.47262760266529,23.29230184929136,23.950562014976953
85,2e-16,0.9714285714285715,4.371428571428573e-14,9.65349793654012e-10,20.590437906838286,23.33476561740777,23.97067068172502
85,2e-16,1.0081632653061225,4.536734693877551e-14,9.301751048164165e-10,20.70149961555016,23.37434304727953,23.989359258118593
85,2e-16,1.0448979591836736,4.702040816326531e-14,8.974736362877143e-10,20.806380892764384,23.411318904916318,24.006773060774822
85,2e-16,1.0816326530612246,4.867346938775511e-14,8.669933995836031e-10,20.9055873758252,23.445941670205976,24.023038231545634
85,2e-16,1.1183673469387756,5.0326530612244906e-14,8.385155141958205e-10,20.999570612032112,23.478429140934974,24.0382647994853
85,2e-16,1.1551020408163266,5.1979591836734703e-14,8.118489430729852e-10,21.088735154878812,23.5089730288664,24.05254917417816
85,2e-16,1.1918367346938776,5.36326530612245e-14,7.868262016769001e-10,21.173444563793854,23.537742753318053,24.065976189938866
85,2e-16,1.2285714285714286,5.52857142857143e-14,7.632998368427071e-10,21.2540265014509,23.56488859116096,24.07862079252887
85,2e-16,1.2653061224489797,5.693877551020409e-14,7.411395189988866e-10,21.33077708416343,23.590544307165565,24.09054943926361
85,2e-16,1.3020408163265307,5.859183673469388e-14,7.20229626613338e-10,21.403964610806796,23.61482936207096,24.101821267767058
85,2e-16,1.3387755102040817,6.024489795918367e-14,7.004672283221185e-10,21.473832772021133,23.63785077543268,24.112489076779774
