N,Cc,Area_um2,CJ,LJ,mode0_GHz,mode1_GHz,mode2_GHz
105,2e-16,0.2,9.000000000000001e-15,4.688841854890915e-09,12.300404990576576,18.600050853364305,21.302422585052515
105,2e-16,0.23673469387755103,1.0653061224489797e-14,3.961262946373359e-09,13.083016049764284,19.243298010399048,21.717512603937585
105,2e-16,0.27346938775510204,1.2306122448979592e-14,3.4291529983530578e-09,13.760346180896533,19.758384264784507,22.03692758568631
105,2e-16,0.3102040816326531,1.3959183673469391e-14,3.0230690906533526e-09,14.354467185772291,20.18055524738321,22.290403040699562
105,2e-16,0.34693877551020413,1.5612244897959187e-14,2.702979422231233e-09,14.881174122748478,20.53309385213915,22.49648487819302
105,2e-16,0.38367346938775515,1.7265306122448985e-14,2.4441835201027107e-09,15.352203522811932,20.83204170869147,22.66734911174517
105,2e-16,0.42040816326530617,1.8918367346938777e-14,2.2306140863073287e-09,15.776533438222776,21.08883136016665,22.811324263463867
105,2e-16,0.4571428571428572,2.0571428571428574e-14,2.0513683115147756e-09,16.161192857542634,21.311840763609332,22.93430162210667
105,2e-16,0.4938775510204082,2.2224489795918372e-14,1.898787197435164e-09,16.5117901750028,21.50735493414212,23.040566908484525
105,2e-16,0.5306122448979592,2.3877551020408167e-14,1.767332699151191e-09,16.83287170745907,21.68018407107522,23.13331283341612
105,2e-16,0.5673469387755102,2.553061224489796e-14,1.6529010855370852e-09,17.128172708768346,21.834073912206485,23.21496692863406
105,2e-16,0.6040816326530613,2.718367346938776e-14,1.552386830335506e-09,17.400797820683632,21.97198578818473,23.287407978407995
105,2e-16,0.6408163265306124,2.883673469387756e-14,1.4633965024818777e-09,17.653353740810566,22.096292387131587,23.352112876733997
105,2e-16,0.6775510204081634,3.048979591836736e-14,1.3840557282509327e-09,17.888048661898733,22.20891750449073,23.410258691376335
105,2e-16,0.7142857142857144,3.214285714285715e-14,1.3128757193694562e-09,18.10676806720014,22.311437677828113,23.462795111453335
105,2e-16,0.7510204081632654,3.379591836734695e-14,1.248658972226385e-09,18.311133361897582,22.40515733765421,23.510496847026815
105,2e-16,0.7877551020408164,3.5448979591836745e-14,1.1904313517598696e-09,18.502547823464372,22.49116520888347,23.55400217049093
105,2e-16,0.8244897959183675,3.7102040816326536e-14,1.1373923311369051e-09,18.682233035661735,22.570377213800295,23.593841696849754
105,2e-16,0.8612244897959185,3.8755102040816334e-14,1.0888779663016816e-09,18.85125808093643,22.643569508133744,23.63046017124403
105,2e-16,0.8979591836734695,4.040816326530613e-14,1.04433295858934e-09,19.010563152832784,22.711404204540482,23.664233169433754
105,2e-16,0.9346938775510205,4.206122448979593e-14,1.0032893051949992e-09,19.16097881987871,22.77444960777862,23.695480045448495
105,2e-16,0.9714285714285715,4.371428571428573e-14,9.65349793654012e-10,19.303241865638352,22.833196282831462,23.72447407503108
105,2e-16,1.0081632653061225,4.536734693877551e-14,9.301751048164165e-10,19.438008407601952,22.888069925290303,23.75145047892811
105,2e-16,1.0448979591836736,4.702040816326531e-14,8.974736362877143e-10,19.565864834700378,22.939441753564484,23.776612825754412
105,2e-16,1.0816326530612246,4.867346938775511e-14,8.669933995836031e-10,19.6873369822754,22.98763696297168,23.800138183897367
105,2e-16,1.1183673469387756,5.0326530612244906e-14,8.385155141958205e-10,19.802897872462736,23.032941651166553,23.822181298672195
105,2e-16,1.1551020408163266,5.1979591836734703e-14,8.118489430729852e-10,19.912974278994252,23.07560852828922,23.842878003350425
105,2e-16,1.1918367346938776,5.36326530612245e-14,7.868262016769001e-10,20.017952322564174,23.115861653808917,23.862348023164614
105,2e-16,1.2285714285714286,5.52857142857143e-14,7.632998368427071e-10,20.11818226205465,23.153900388451632,23.880697294713105
105,2e-16,1.2653061224489797,5.693877551020409e-14,7.411395189988866e-10,20.213982615047577,23.189902709000314,23.898019895748376
105,2e-16,1.3020408163265307,5.859183673469388e-14,7.20229626613338e-10,20.305643716035075,23.2240280027748,23.914399659643795
105,2e-16,1.3387755102040817,6.024489795918367e-14,7.004672283221185e-10,20.39343080090083,23.25641943471374,23.929911533058522
105,2e-16,1.3755102040816327,6.189795918367348e-14,6.817603883966019e-10,20.477586690512894,23.28720596149041,23.944622723234986
105,2e-16,1.4122448979591837,6.355102040816327e-14,6.64026736675303e-10,20.5583341335691,23.31650405261393,23.95859367200508
105,2e-16,1.4489795918367347,6.520408163265306e-14,6.471922560271968e-10,20.635877858647877,23.344419167107535,23.971878886293954
105,2e-16,1.4857142857142858,6.685714285714286e-14,6.31190249696854e-10,20.710406377138654,23.371047025349064,23.984527649202185
105,2e-16,1.5224489795918368,6.851020408163266e-14,6.159604581492088e-10,20.782093571968538,23.39647470849307,23.99658463123068
