N,Cc,Area_um2,CJ,LJ,mode0_GHz,mode1_GHz,mode2_GHz
95,2e-16,0.2,9.000000000000001e-15,4.688841854890915e-09,13.150385627442377,19.305610401198823,21.76330013102183
95,2e-16,0.23673469387755103,1.0653061224489797e-14,3.961262946373359e-09,13.943040160531341,19.89976134454284,22.128444898124496
95,2e-16,0.27346938775510204,1.2306122448979592e-14,3.4291529983530578e-09,14.622885331382099,20.370764615158382,22.407438376699652
95,2e-16,0.3102040816326531,1.3959183673469391e-14,3.0230690906533526e-09,15.214317006620762,20.75360498212343,22.627600803354497
95,2e-16,0.34693877551020413,1.5612244897959187e-14,2.702979422231233e-09,15.734699223833134,21.071072181895154,22.80578955301535
95,2e-16,0.38367346938775515,1.7265306122448985e-14,2.4441835201027107e-09,16.196858395523968,21.338680421105746,22.952976010430692
95,2e-16,0.42040816326530617,1.8918367346938777e-14,2.2306140863073287e-09,16.610545924081027,21.567371664992947,23.0766107735174
95,2e-16,0.4571428571428572,2.0571428571428574e-14,2.0513683115147756e-09,16.983348448531387,21.765091583203095,23.181932219965958
95,2e-16,0.4938775510204082,2.2224489795918372e-14,1.898787197435164e-09,17.321281393006732,21.937753195069984,23.27273140754609
95,2e-16,0.5306122448979592,2.3877551020408167e-14,1.767332699151191e-09,17.6291908352681,22.089849846976584,23.351819934917586
95,2e-16,0.5673469387755102,2.553061224489796e-14,1.6529010855370852e-09,17.91103415087086,22.224858337164612,23.421327235193065
95,2e-16,0.6040816326530613,2.718367346938776e-14,1.552386830335506e-09,18.17008115168075,22.345511705366302,23.482895730069625
95,2e-16,0.6408163265306124,2.883673469387756e-14,1.4633965024818777e-09,18.40906145984866,22.45398845275761,23.53781258530703
95,2e-16,0.6775510204081634,3.048979591836736e-14,1.3840557282509327e-09,18.630274562564093,22.5520466734708,23.58710087144872
95,2e-16,0.7142857142857144,3.214285714285715e-14,1.3128757193694562e-09,18.83567337207903,22.64112097867213,23.631584014326585
95,2e-16,0.7510204081632654,3.379591836734695e-14,1.248658972226385e-09,19.02692860216302,22.7223937432192,23.671932243629815
95,2e-16,0.7877551020408164,3.5448979591836745e-14,1.1904313517598696e-09,19.205479011980948,22.79684828801173,23.708696646524057
95,2e-16,0.8244897959183675,3.7102040816326536e-14,1.1373923311369051e-09,19.372571077120522,22.865309132494115,23.7423345219273
95,2e-16,0.8612244897959185,3.8755102040816334e-14,1.0888779663016816e-09,19.529290641343586,22.928472846740654,23.77322852290928
95,2e-16,0.8979591836734695,4.040816326530613e-14,1.04433295858934e-09,19.676588410122967,22.98693197146436,23.80170129353629
95,2e-16,0.9346938775510205,4.206122448979593e-14,1.0032893051949992e-09,19.81530066183332,23.041193759506083,23.828026790931116
95,2e-16,0.9714285714285715,4.371428571428573e-14,9.65349793654012e-10,19.946166206976766,23.091695002555735,23.852439136670025
95,2e-16,1.0081632653061225,4.536734693877551e-14,9.301751048164165e-10,20.06984037623275,23.138813865926245,23.875139604550203
95,2e-16,1.0448979591836736,4.702040816326531e-14,8.974736362877143e-10,20.18690663538726,23.182879413467443,23.896302187062304
95,2e-16,1.0816326530612246,4.867346938775511e-14,8.669933995836031e-10,20.29788628976752,23.22417933244363,23.91607806682644
95,2e-16,1.1183673469387756,5.0326530612244906e-14,8.385155141958205e-10,20.40324663933363,23.262966243435493,23.934599236372847
95,2e-16,1.1551020408163266,5.1979591836734703e-14,8.118489430729852e-10,20.503407868739604,23.29946288890145,23.9519814497115
95,2e-16,1.1918367346938776,5.36326530612245e-14,7.868262016769001e-10,20.598748897937003,23.333866426357027,23.96832664532557
95,2e-16,1.2285714285714286,5.52857142857143e-14,7.632998368427071e-10,20.689612373618683,23.366352001513118,23.983724947837832
95,2e-16,1.2653061224489797,5.693877551020409e-14,7.411395189988866e-10,20.77630894656872,23.397075738515884,23.998256331422954
95,2e-16,1.3020408163265307,5.859183673469388e-14,7.20229626613338e-10,20.85912095241135,23.426177255355853,24.01199200983695
95,2e-16,1.3387755102040817,6.024489795918367e-14,7.004672283221185e-10,20.938305591447016,23.45378179018602,24.02499560408593
95,2e-16,1.3755102040816327,6.189795918367348e-14,6.817603883966019e-10,21.014097686012644,23.480002007042337,24.037324128163398
95,2e-16,1.4122448979591837,6.355102040816327e-14,6.64026736675303e-10,21.086712079924883,23.504939536003842,24.049028825090645
95,2e-16,1.4489795918367347,6.520408163265306e-14,6.471922560271968e-10,21.156345733466235,23.528686292283787,24.060155879131333
95,2e-16,1.4857142857142858,6.685714285714286e-14,6.31190249696854e-10,21.223179558366155,23.551325610428215,24.070747025060683
95,2e-16,1.5224489795918368,6.851020408163266e-14,6.159604581492088e-10,21.287380029920175,23.57293322317605,24.08084007144544
95,2e-16,1.5591836734693878,7.016326530612246e-14,6.014483007582587e-10,21.349100607393897,23.593578109257564,24.090469351766362
95,2e-16,1.5959183673469388,7.181632653061225e-14,5.876042222241812e-10,21.40848298896482,23.613323230164816,24.099666114732987
