N,Cc,Area_um2,CJ,LJ,mode0_GHz,mode1_GHz,mode2_GHz
70,2e-16,0.2,9.000000000000001e-15,4.688841854890915e-09,15.728206112166218,21.100344322014855,22.839732614084426
70,2e-16,0.23673469387755103,1.0653061224489797e-14,3.961262946373359e-09,16.498725013523252,21.536302334914108,23.07536106452069
70,2e-16,0.27346938775510204,1.2306122448979592e-14,3.4291529983530578e-09,17.13984824261975,21.87281252711865,23.252378524345687
70,2e-16,0.3102040816326531,1.3959183673469391e-14,3.0230690906533526e-09,17.682762971128085,22.140508798561143,23.390245801353856
70,2e-16,0.34693877551020413,1.5612244897959187e-14,2.702979422231233e-09,18.149072957442982,22.358586154629556,23.50066303535417
70,2e-16,0.38367346938775515,1.7265306122448985e-14,2.4441835201027107e-09,18.554313514635314,22.539694571893886,23.59108892865123
70,2e-16,0.42040816326530617,1.8918367346938777e-14,2.2306140863073287e-09,18.909991368920995,22.692514081620676,23.666503581183882
70,2e-16,0.4571428571428572,2.0571428571428574e-14,2.0513683115147756e-09,19.224837307751457,22.823200998152146,23.730359361216042
70,2e-16,0.4938775510204082,2.2224489795918372e-14,1.898787197435164e-09,19.50561051382961,22.93624407245479,23.785125129258656
70,2e-16,0.5306122448979592,2.3877551020408167e-14,1.767332699151191e-09,19.757634101612908,23.034993882969147,23.83261324639117
70,2e-16,0.5673469387755102,2.553061224489796e-14,1.6529010855370852e-09,19.9851625954813,23.122002402751022,23.874184222440725
70,2e-16,0.6040816326530613,2.718367346938776e-14,1.552386830335506e-09,20.191640607741554,23.199247742121145,23.91087929217117
70,2e-16,0.6408163265306124,2.883673469387756e-14,1.4633965024818777e-09,20.37988896992448,23.26828698354444,23.9435088940526
70,2e-16,0.6775510204081634,3.048979591836736e-14,1.3840557282509327e-09,20.552241247667236,23.330362609856145,23.972713267146684
70,2e-16,0.7142857142857144,3.214285714285715e-14,1.3128757193694562e-09,20.710645563957268,23.386478183305208,23.999004906388706
70,2e-16,0.7510204081632654,3.379591836734695e-14,1.248658972226385e-09,20.856741690170193,23.43745316963123,24.022798912223944
70,2e-16,0.7877551020408164,3.5448979591836745e-14,1.1904313517598696e-09,20.99192019835876,23.483963320952924,24.044435079351956
70,2e-16,0.8244897959183675,3.7102040816326536e-14,1.1373923311369051e-09,21.117368399816524,23.526570870778862,24.06419423424716
70,2e-16,0.8612244897959185,3.8755102040816334e-14,1.0888779663016816e-09,21.23410641406112,23.565747419975523,24.082310495944057
70,2e-16,0.8979591836734695,4.040816326530613e-14,1.04433295858934e-09,21.34301577251369,23.601891498546372,24.09898059960286
70,2e-16,0.9346938775510205,4.206122448979593e-14,1.0032893051949992e-09,21.44486231019435,23.635342194842774,24.11437107231165
70,2e-16,0.9714285714285715,4.371428571428573e-14,9.65349793654012e-10,21.540314640729914,23.66638984295878,24.128623817030178
70,2e-16,1.0081632653061225,4.536734693877551e-14,9.301751048164165e-10,21.6299591830278,23.69528448361819,24.141860502002427
70,2e-16,1.0448979591836736,4.702040816326531e-14,8.974736362877143e-10,21.714312471487894,23.722242621701465,24.154186043510006
70,2e-16,1.0816326530612246,4.867346938775511e-14,8.669933995836031e-10,21.793831308497992,23.747452667608655,24.16569139319842
70,2e-16,1.1183673469387756,5.0326530612244906e-14,8.385155141958205e-10,21.86892118979925,23.771079352200214,24.17645578676978
70,2e-16,1.1551020408163266,5.1979591836734703e-14,8.118489430729852e-10,21.939943337412597,23.793267334371176,24.186548571690665
70,2e-16,1.1918367346938776,5.36326530612245e-14,7.868262016769001e-10,22.007220602414407,23.814144168450177,24.196030703090397
70,2e-16,1.2285714285714286,5.52857142857143e-14,7.632998368427071e-10,22.07104244465582,23.833822760180514,24.204955976061463
70,2e-16,1.2653061224489797,5.693877551020409e-14,7.411395189988866e-10,22.13166915411062,23.852403411259456,24.213372047013692
70,2e-16,1.3020408163265307,5.859183673469388e-14,7.20229626613338e-10,22.1893354456821,23.869975530684055,24.22132128503956
70,2e-16,1.3387755102040817,6.024489795918367e-14,7.004672283221185e-10,22.244253533655048,23.88661907458454,24.22884148540952
70,2e-16,1.3755102040816327,6.189795918367348e-14,6.817603883966019e-10,22.296615771858622,23.902405763520477,24.23596647056202
70,2e-16,1.4122448979591837,6.355102040816327e-14,6.64026736675303e-10,22.34659692964548,23.91740011635974,24.242726598754803
70,2e-16,1.4489795918367347,6.520408163265306e-14,6.471922560271968e-10,22.394356161132038,23.931660332202718,24.249149196516807
70,2e-16,1.4857142857142858,6.685714285714286e-14,6.31190249696854e-10,22.440038714981103,23.945239045783655,24.25525892789295
70,2e-16,1.5224489795918368,6.851020408163266e-14,6.159604581492088e-10,22.483777423851468,23.958183977037972,24.261078111006622
70,2e-16,1.5591836734693878,7.016326530612246e-14,6.014483007582587e-10,22.525694006005995,23.97053849173869,24.26662699050377
70,2e-16,1.5959183673469388,7.181632653061225e-14,5.876042222241812e-10,22.565900206215893,23.98234208709354,24.271923972887897
70,2e-16,1.6326530612244898,7.346938775510206e-14,5.74383127224137e-10,22.60449879867814,23.993630813765026,24.276985830516008
70,2e-16,1.6693877551020408,7.512244897959185e-14,5.617438897057575e-10,22.641584471077778,24.004437643818285,24.281827879015978
70,2e-16,1.7061224489795919,7.677551020408164e-14,5.49648925573337e-10,22.677244605933467,24.014792792512182,24.286464132079132
70,2e-16,1.7428571428571429,7.842857142857144e-14,5.380638194137116e-10,22.711559972912116,24.02472400055023,24.290907436927423
70,2e-16,1.779591836734694,8.008163265306122e-14,5.269569974533369e-10,22.744605343747722,24.03425678234728,24.295169593208193
70,2e-16,1.816326530612245,8.173469387755103e-14,5.162994402014716e-10,22.776450039689657,24.04341464498998,24.299261457639094
70,2e-16,1.853061224489796,8.338775510204082e-14,5.060644292723676e-10,22.807158419974655,24.05221928185381,24.303193036353974
70,2e-16,1.889795918367347,8.504081632653062e-14,4.962273237357557e-10,22.836790318616796,24.060690744230023,24.306973566601936
70,2e-16,1.926530612244898,8.669387755102041e-14,4.867653620543535e-10,22.865401435793242,24.068847593825204,24.310611589211497
70,2e-16,1.9632653061224492,8.834693877551022e-14,4.776574862570787e-10,22.893043689243346,24.076707038573556,24.31411501300779
70,2e-16,2.0,9.000000000000001e-14,4.688841854890916e-10,22.91976553037917,24.08428505385537,24.317491172209575
70,2.36734693877551e-16,0.2,9.000000000000001e-15,4.688841854890915e-09,15.544395885152495,21.022094243584213,22.81100632176774
70,2.36734693877551e-16,0.23673469387755103,1.0653061224489797e-14,3.961262946373359e-09,16.319257740446737,21.465964819442668,23.050326913330405
70,2.36734693877551e-16,0.27346938775510204,1.2306122448979592e-14,3.4291529983530578e-09,16.96547791212632,21.80899084365042,23.23020022815108
70,2.36734693877551e-16,0.3102040816326531,1.3959183673469391e-14,3.0230690906533526e-09,17.51380805396241,22.08212907666916,23.370340963859128
